,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144
0,ABHD16A:protein_coding,AC005154.6:antisense,ABTB1:retained_intron,AARS2:protein_coding,ABCF3:protein_coding,AC008062.1:sense_intronic,DDI2:protein_coding,ANKRD13B:retained_intron,ANKRD17:protein_coding,ATP6V0D1:retained_intron,CDC14B:nonsense_mediated_decay,CEP104:protein_coding,ANKRD37:retained_intron,ANKRD16:protein_coding,ATG4A:protein_coding,DOK6:protein_coding,AC010746.2:sense_intronic,AC016747.2:retained_intron,CD248:protein_coding,AC093642.1:TEC,AP001046.5:lincRNA,C1orf198:protein_coding,CNBD2:protein_coding,FAM83F:protein_coding,CDCA5:protein_coding,CMAS:protein_coding,C6orf106:protein_coding,AMD1:nonsense_mediated_decay,ACTR1A:protein_coding,ARMC8:retained_intron,CTD-2547E10.4:unprocessed_pseudogene,MAPRE3:retained_intron,AC005154.7:transcribed_processed_pseudogene,RNASEH2B:nonsense_mediated_decay,RP11-259O2.3:lincRNA,HMMR:protein_coding,CEP135:retained_intron,FBXL14:protein_coding,CTPS1:protein_coding,C18orf25:retained_intron,AC005795.2:processed_pseudogene,FAM53C:protein_coding,CORO6:retained_intron,CTA-414D7.1:sense_intronic,ARL8A:processed_transcript,CTD-2325P2.3:antisense,ERICD:lincRNA,CTNNB1:protein_coding,CH17-373J23.1:lincRNA,LIMK1:protein_coding,NCMAP:protein_coding,FAM187A:protein_coding,CYP1A2:protein_coding,CTD-2561B21.8:TEC,TARBP1:processed_transcript,MIS18BP1:retained_intron,C4orf47:protein_coding,FKBP3:nonsense_mediated_decay,LA16c-358B7.3:antisense,CTD-2006C1.2:retained_intron,GPR155:protein_coding,GNA15:protein_coding,GDPD5:retained_intron,RN7SL149P:misc_RNA,LMNA:retained_intron,AMY2B:protein_coding,AFG3L2:protein_coding,CCDC144B:processed_transcript,CTD-2251F13.1:lincRNA,FAM151B:processed_transcript,RNF157:protein_coding,PUM1:nonsense_mediated_decay,CHKA:nonsense_mediated_decay,JADE2:processed_transcript,PPP1R8:protein_coding,NBR1:retained_intron,CTD-2292M16.8:lincRNA,NOP56:protein_coding,RP11-379I19.3:lincRNA,CRIP3:protein_coding,ORAI1:protein_coding,FRMD8:retained_intron,ANAPC7:retained_intron,BRAF:retained_intron,INPP5F:protein_coding,NUP93:retained_intron,MXD4:retained_intron,NSMCE4A:protein_coding,RP11-960L18.1:lincRNA,CEP85:processed_transcript,CHD4:protein_coding,GBP4:protein_coding,ASF1B:protein_coding,NDUFB2:processed_transcript,MECR:processed_transcript,CDKN1A:processed_transcript,AC000123.3:TEC,RAD51C:processed_transcript,C9orf16:processed_transcript,PIGA:processed_transcript,AC093415.4:processed_pseudogene,CBX3:retained_intron,EEF1B2:retained_intron,BCAS4:nonsense_mediated_decay,CDK6:protein_coding,GPKOW:protein_coding,GADD45A:protein_coding,EMC8:protein_coding,GLIPR1:protein_coding,NBL1:protein_coding,FER1L5:retained_intron,AC007386.3:processed_pseudogene,DNAJA3:retained_intron,FAM83G:retained_intron,RP11-178C10.2:processed_pseudogene,AF121898.3:antisense,DIS3L2:retained_intron,INF2:retained_intron,RP11-226M10.3:TEC,AC114271.2:antisense,CTC-281F24.5:TEC,CRIP3:retained_intron,PRSS53:retained_intron,GRK6:retained_intron,RNF2:protein_coding,ATP6V1D:nonsense_mediated_decay,ANAPC15:protein_coding,LY9:nonsense_mediated_decay,KDSR:nonsense_mediated_decay,RNU7-181P:snRNA,FOXO4:protein_coding,DNAJB12:retained_intron,RP11-1000B6.3:lincRNA,CLEC16A:retained_intron,MCCC2:processed_transcript,AC092669.3:lincRNA,E2F1:protein_coding,AMZ2P1:processed_transcript,CALM2:processed_transcript,SSX2IP:protein_coding,NEXMIF:protein_coding,CLASP2:retained_intron,RPAIN:retained_intron,DLX6-AS1:antisense,ATP6V1C2:protein_coding
1,AC006129.4:lincRNA,AC005154.6:retained_intron,AC006538.8:sense_intronic,ABLIM2:protein_coding,ACTR8:protein_coding,AC127904.2:sense_intronic,ELK3:protein_coding,BEND3:protein_coding,ECI1:retained_intron,BTN2A2:retained_intron,G6PC3:retained_intron,EPS15:protein_coding,CLIP1:retained_intron,IL6R:protein_coding,IFT22:protein_coding,LYN:processed_transcript,EFCAB4A:retained_intron,AL356017.3:antisense,KMT5C:processed_transcript,AP001437.1:antisense,CTD-2267D19.2:antisense,FKBP2:protein_coding,FAM26F:protein_coding,PCYT1B:protein_coding,CHPF:protein_coding,EIF2B4:protein_coding,ITGB1:protein_coding,ANKRD22:protein_coding,NCKAP5L:protein_coding,RP11-2P5.4:processed_pseudogene,DGKA:retained_intron,SLC5A6:protein_coding,NOXA1:protein_coding,TAGLN:protein_coding,TINCR:protein_coding,TSC22D1-AS1:antisense,PEF1:processed_transcript,GTF3C4:protein_coding,HYOU1:protein_coding,CBLL1:retained_intron,PFAS:nonsense_mediated_decay,RP11-214O1.2:lincRNA,DOCK4:protein_coding,RP4-564F22.2:retained_intron,GSTM2:protein_coding,MPV17:retained_intron,SLC16A3:protein_coding,NINJ1:protein_coding,MRPL37P1:processed_pseudogene,MPHOSPH6:protein_coding,OCLN:protein_coding,ITGA5:retained_intron,FAM66E:lincRNA,INPP5K:nonsense_mediated_decay,ZNF135:nonsense_mediated_decay,RIOK1:retained_intron,RBM33:nonsense_mediated_decay,TSFM:protein_coding,LAMTOR4:retained_intron,GUCA1B:protein_coding,ZBTB14:protein_coding,GPR132:nonsense_mediated_decay,SYCE2:protein_coding,STK38L:retained_intron,RASSF2:processed_transcript,CTD-2017D11.2:TEC,TNPO1:protein_coding,KDM3B:retained_intron,RP11-1007O24.2:lincRNA,RANBP9:processed_transcript,RP11-445F6.2:antisense,QPCTL:retained_intron,TTC21A:protein_coding,POM121C:protein_coding,ZNHIT2:protein_coding,PIGB:retained_intron,CTD-2626G11.2:lincRNA,SRP19:nonsense_mediated_decay,TXNDC11:processed_transcript,CTB-50L17.10:nonsense_mediated_decay,TPRG1L:protein_coding,IGLV1-40:IG_V_gene,ZNF814:processed_transcript,ILF3:processed_transcript,SLC45A3:processed_transcript,RP11-866E20.3:lincRNA,RAP1GAP2:protein_coding,ZNF117:protein_coding,SLC27A1:nonsense_mediated_decay,MTRR:protein_coding,STX1A:processed_transcript,NFKB1:protein_coding,KCTD10:protein_coding,RP11-747H7.3:sense_intronic,MUM1:nonsense_mediated_decay,ZNF821:protein_coding,JAM2:protein_coding,RP11-7O11.3:antisense,UQCRQ:protein_coding,USP36:retained_intron,THEMIS2:processed_transcript,FXYD3:retained_intron,SRSF2:retained_intron,CEP131:protein_coding,GPR174:protein_coding,ZNF574:protein_coding,SMYD5:protein_coding,HCCS:protein_coding,SLC35A5:processed_transcript,PDE4A:protein_coding,SESTD1:retained_intron,VNN1:protein_coding,DPH2:retained_intron,STPG1:protein_coding,TAX1BP1:processed_transcript,VIL1:protein_coding,TBC1D14:retained_intron,SYPL1:retained_intron,ZDHHC5:retained_intron,ZNF772:protein_coding,TMEM218:retained_intron,LRRC45:retained_intron,SSPN:protein_coding,TMED10:nonsense_mediated_decay,UBE2Z:protein_coding,GPC2:protein_coding,PCNX2:protein_coding,ZBTB10:protein_coding,ZNF202:protein_coding,TOP2B:nonsense_mediated_decay,VRK3:processed_transcript,GTPBP1:processed_transcript,RP11-72I8.1:processed_transcript,RP11-227G15.10:lincRNA,ZNF44:retained_intron,TSKU:protein_coding,RP4-726N20.2:antisense,NR4A1:retained_intron,MAP4K1:processed_transcript,TOR4A:protein_coding,STAM2:retained_intron,RP6-91H8.5:lincRNA,SURF2:protein_coding,MYCBPAP:retained_intron,ZNF547:protein_coding
2,AC108488.3:antisense,AC007000.7:transcribed_unprocessed_pseudogene,AC013394.2:retained_intron,AC129492.6:antisense,AKAP12:protein_coding,ACSS1:processed_transcript,HDAC7:protein_coding,BEND4:protein_coding,GALNT2:protein_coding,FXYD5:processed_transcript,IGHV1-18:IG_V_gene,FCRL3:processed_transcript,EIF3M:processed_transcript,ILK:protein_coding,IGKV2-30:IG_V_gene,MIR6774:miRNA,IDI1:protein_coding,MAP4K1:protein_coding,LRRC70:protein_coding,LCTL:protein_coding,GNB5:retained_intron,GPRIN1:protein_coding,GAS6-AS1:antisense,PDK4:protein_coding,CTTN:protein_coding,KIAA0513:protein_coding,LPIN2:protein_coding,CSF2RA:processed_transcript,SIGLEC5:protein_coding,RP11-398A8.3:lincRNA,DNHD1:retained_intron,TMX4:protein_coding,PPIE:nonsense_mediated_decay,XXyac-YR21IF11.1:lincRNA,VSTM4:protein_coding,USP45:nonsense_mediated_decay,PIGB:processed_transcript,TBC1D23:protein_coding,TMEM185B:protein_coding,PPP6R1:retained_intron,PLCD3:protein_coding,ULBP2:protein_coding,FCRL3:protein_coding,SENP5:processed_transcript,MTF2:retained_intron,TTC31:retained_intron,TAP1:protein_coding,UAP1:protein_coding,ZZEF1:retained_intron,PKIG:protein_coding,TTC17:retained_intron,VIM:nonsense_mediated_decay,HCG4P5:unprocessed_pseudogene,YBX3:processed_transcript,ZRANB2:processed_transcript,VAPB:retained_intron,UBE2N:nonsense_mediated_decay,ZNF607:protein_coding,RP11-396B14.2:lincRNA,RP11-867G23.3:lincRNA,ZNF528:retained_intron,NUAK2:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ACADM:protein_coding,AC011330.8:unprocessed_pseudogene,AC016629.8:antisense,ACOT7:protein_coding,ARF3:protein_coding,AKIRIN2:processed_transcript,IPPK:protein_coding,CACYBP:retained_intron,ICMT:nonsense_mediated_decay,GALNT3:protein_coding,IGHV1-24:IG_V_gene,FGFR1OP:processed_transcript,METRNL:processed_transcript,RDX:protein_coding,KLC1:protein_coding,MYH9:retained_intron,NELFA:retained_intron,PHF7:retained_intron,RP11-214O1.3:lincRNA,MROH7:nonsense_mediated_decay,JMJD1C:retained_intron,MOB3C:protein_coding,LINC00528:lincRNA,SH3BP4:protein_coding,PTRF:protein_coding,SLC52A2:protein_coding,RNF38:processed_transcript,PPP1R2:retained_intron,TMEM184B:protein_coding,TNR:protein_coding,TCL6:processed_transcript,TUBB6:protein_coding,VPS13B:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ACADVL:nonsense_mediated_decay,AC069257.4:antisense,AC017076.4:retained_intron,AHRR:protein_coding,ARPC5:processed_transcript,AKNA:processed_transcript,LMBRD1:protein_coding,CAPN15:protein_coding,IL13RA1:protein_coding,MMP9:protein_coding,IGHV3-74:IG_V_gene,LGALS3:protein_coding,NAE1:retained_intron,SCIMP:protein_coding,NOC3L:protein_coding,RAB3GAP2:processed_transcript,RP11-542H15.1:TEC,PPP1R3E:processed_transcript,SIX3:protein_coding,RP11-326K13.4:antisense,MIR4489:miRNA,PIP5K1A:protein_coding,RP5-1159O4.2:lincRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ADA:processed_transcript,AC073052.1:processed_pseudogene,AC092620.2:3prime_overlapping_ncRNA,AKIP1:protein_coding,ATMIN:protein_coding,ANKK1:protein_coding,LRRC8C:protein_coding,CCL4:protein_coding,IRF5:protein_coding,RGCC:protein_coding,IGHV4-39:IG_V_gene,NR1D1:protein_coding,NEK10:protein_coding,STX2:protein_coding,SYNGAP1:nonsense_mediated_decay,RP11-640N20.4:TEC,USP3:retained_intron,RP11-89K11.1:processed_transcript,TANK:nonsense_mediated_decay,SLC19A3:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ADO:protein_coding,AC079584.3:sense_intronic,AC092620.3:lincRNA,ALG1:protein_coding,ATP6AP2:protein_coding,ARHGEF10:retained_intron,MAPK8:protein_coding,INCENP:processed_transcript,LETM1:retained_intron,RP11-43N16.4:TEC,IGHV4-59:IG_V_gene,PLOD3:protein_coding,RP11-2H8.2:lincRNA,TNFAIP8:protein_coding,ZNF200:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AGAP4:processed_transcript,AC079767.4:lincRNA,AFF4:retained_intron,ANKRD9:protein_coding,BCL2L1:protein_coding,ARPC2:nonsense_mediated_decay,NOTCH1:protein_coding,MPI:retained_intron,MON1A:protein_coding,SAFB2:processed_transcript,IGHV6-1:IG_V_gene,PLXNA1:protein_coding,RPL18A:retained_intron,UBIAD1:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AGAP5:protein_coding,AC093642.3:retained_intron,AGPHD1:nonsense_mediated_decay,AP5B1:protein_coding,BCORL1:protein_coding,ARPC2:retained_intron,NPAT:protein_coding,MRPS25:nonsense_mediated_decay,OGFOD1:protein_coding,SMPD2:retained_intron,PLEKHB1:protein_coding,SLC25A19:protein_coding,RPL8:retained_intron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AGPAT5:protein_coding,AC093802.1:lincRNA,AHI1:protein_coding,APEH:protein_coding,C17orf51:protein_coding,ATG4D:retained_intron,PDGFA:protein_coding,PDP2:protein_coding,POGK:protein_coding,TIMP2:nonsense_mediated_decay,SAMHD1:nonsense_mediated_decay,TRAF1:protein_coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
