,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47
0,AATK,ABTB1,AACS,ABCA7,AC058791.1,AC004076.5,AGRN,ABCA2,CIC,ANKRD12,ATG9B,AC008268.3,CLDN4,ACBD3,ADAR,PRRG3,ENG,ADAM8,PI4KB,ANXA1,C16orf54,ELMO1,KIF21B,DMBT1,KIAA1217,PDCD4,IRAK1,PINK1,CDKN1B,DNAJC5,KANK1,MYO1G,HNRNPAB,MYD88,BLZF1,AC009948.3,FAM91A1,AVL9,CEBPA,CHIC2,RPL3,HK3,MVP,KIAA0232,DOPEY2,FAM43A,FUS,TNFRSF1B
1,ABCF3,ACAP1,AC005154.6,ACTN1,ACSL1,AC006509.7,ANAPC16,BIRC6,GET4,CDS2,C2orf54,AMPD2,DMKN,EMILIN2,HNRNPH1,RP11-347C12.1,GTF2A1,CSF3R,SPTBN1,FBXW11,ZFP36L2,SLC26A9,PTGS2,JMJD6,PATJ,TRIM25,PLEKHM1,PRKCSH,HELZ2,REXO1,ZNF688,PTOV1,PRELID1,NBEAL2,TMC5,MAPRE2,SORL1,SLF2,WASH6P,SLC15A3,TMPRSS11E,PML,RP11-206L10.2,KLF16,OGT,SLC6A14,IL10RA,ZSWIM6
2,ABHD17A,ACBD5,AC005301.5,ADAR,ADRBK2,AC009404.2,ANO8,DAAM1,HDAC2,CREB1,CLIC3,ATP6V1C1,RHCG,NDEL1,ITGA5,RP11-87N24.3,UNC13D,MMP25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ABTB1,ACIN1,ADGRG3,AGO4,AGO3,ACOX1,CGGBP1,DAPK2,LRP1,DHX8,DUSP5,HECTD4,TUFT1,TNFAIP2,MARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AC137934.1,ADCY7,AGFG2,AGPAT6,AKT1,AHDC1,CNKSR3,DGKZ,MEFV,IQCE,ECM1,HYOU1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AC138035.2,AHCYL1,AKAP9,AKT1S1,AMBRA1,ARFGAP2,CNOT7,DNAJC10,MLEC,KLF13,ELF3,KCNJ15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ACAP3,ALOX5,AKAP9,AMFR,ARPC2,BCDIN3D,EIF4G2,EGLN2,PRKACA,NCOA6,KRT19,LIMK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ADRM1,ANKHD1,ALDH1A3,AP5B1,ATG16L2,BROX,EPHX3,FCGR1A,RAB21,NUFIP2,MUC1,PLEKHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AKT1,APOBEC3A,ANKRD44,APOBEC3A,ATP6AP2,C14orf64,EPS8L1,FKBP8,SECISBP2L,PDS5A,PRSS22,RBM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AKT2,ARF3,ANXA11,ARID4B,AVIL,C15orf58,EXPH5,GPC1,STAG2,SOCS2,PRSS27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ANKRD9,ARNTL2,ANXA7,ARMCX3,C3AR1,CAV2,GCOM1,LYST,TSC2,SULT1B1,PSCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,APOE,ATHL1,ARHGDIA,ARPC2,CCL3,CCNG2,HOMER2,MAP3K2,WDR1,TMEM192,TMPRSS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARAF,ATP1B1,ARL8A,ATHL1,CDK16,CELF4,IKZF1,NAV1,ZC3H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ARAP3,ATP6AP2,ARRDC4,ATP2A3,CELF2,CELF5,JOSD1,NFKB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ARF5,BACH2,ATF5,AXL,CHURC1,CH17-264L24.1,KIAA0930,NPEPPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ARHGAP4,BCL10,ATP13A3,BCL9L,CORO7,CHD1,KREMEN1,PHACTR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
