,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47
0,AATK_nonsense_mediated_decay:SLVRNA,ABTB1_processed_transcript:SLVRNA,AACS_retained_intron:SLVRNA,ABCA7_protein_coding:SLVRNA,AC058791.1_lincRNA:SLVRNA,AC004076.5_antisense:SLVRNA,AGRN_retained_intron:SLVRNA,ABCA2_nonsense_mediated_decay:SLVRNA,CIC_protein_coding:SLVRNA,ANKRD12_protein_coding:SLVRNA,ATG9B_protein_coding:SLVRNA,AC008268.3_lincRNA:SLVRNA,CLDN4_protein_coding:SLVRNA,ACBD3_protein_coding:SLVRNA,ADAR_retained_intron:SLVRNA,PRRG3_protein_coding:SLVRNA,ENG_protein_coding:SLVRNA,ADAM8_protein_coding:SLVRNA,PI4KB_protein_coding:SLVRNA,ANXA1_processed_transcript:SLVRNA,C16orf54_protein_coding:SLVRNA,ELMO1_protein_coding:SLVRNA,KIF21B_protein_coding:SLVRNA,DMBT1_protein_coding:SLVRNA,KIAA1217_protein_coding:SLVRNA,PDCD4_processed_transcript:SLVRNA,IRAK1_protein_coding:SLVRNA,PINK1_protein_coding:SLVRNA,CDKN1B_protein_coding:SLVRNA,DNAJC5_nonsense_mediated_decay:SLVRNA,KANK1_processed_transcript:SLVRNA,MYO1G_retained_intron:SLVRNA,HNRNPAB_protein_coding:SLVRNA,MYD88_retained_intron:SLVRNA,BLZF1_protein_coding:SLVRNA,AC009948.3_antisense:SLVRNA,FAM91A1_protein_coding:SLVRNA,AVL9_protein_coding:SLVRNA,CEBPA_protein_coding:SLVRNA,CHIC2_protein_coding:SLVRNA,RPL3_protein_coding:SLVRNA,HK3_protein_coding:SLVRNA,MVP_protein_coding:SLVRNA,KIAA0232_protein_coding:SLVRNA,DOPEY2_protein_coding:SLVRNA,FAM43A_protein_coding:SLVRNA,FUS_protein_coding:SLVRNA,TNFRSF1B_protein_coding:SLVRNA
1,ABCF3_retained_intron:SLVRNA,ACAP1_protein_coding:SLVRNA,AC005154.6_antisense:SLVRNA,ACTN1_protein_coding:SLVRNA,ACSL1_protein_coding:SLVRNA,AC006509.7_processed_pseudogene:SLVRNA,ANAPC16_processed_transcript:SLVRNA,BIRC6_retained_intron:SLVRNA,GET4_protein_coding:SLVRNA,CDS2_protein_coding:SLVRNA,C2orf54_protein_coding:SLVRNA,AMPD2_protein_coding:SLVRNA,DMKN_protein_coding:SLVRNA,EMILIN2_protein_coding:SLVRNA,HNRNPH1_retained_intron:SLVRNA,RP11-347C12.1_protein_coding:SLVRNA,GTF2A1_protein_coding:SLVRNA,CSF3R_retained_intron:SLVRNA,SPTBN1_protein_coding:SLVRNA,FBXW11_protein_coding:SLVRNA,ZFP36L2_protein_coding:SLVRNA,SLC26A9_retained_intron:SLVRNA,PTGS2_processed_transcript:SLVRNA,JMJD6_protein_coding:SLVRNA,PATJ_protein_coding:SLVRNA,TRIM25_retained_intron:SLVRNA,PLEKHM1_nonsense_mediated_decay:SLVRNA,PRKCSH_protein_coding:SLVRNA,HELZ2_processed_transcript:SLVRNA,REXO1_protein_coding:SLVRNA,ZNF688_protein_coding:SLVRNA,PTOV1_retained_intron:SLVRNA,PRELID1_protein_coding:SLVRNA,NBEAL2_retained_intron:SLVRNA,TMC5_protein_coding:SLVRNA,MAPRE2_protein_coding:SLVRNA,SORL1_retained_intron:SLVRNA,SLF2_protein_coding:SLVRNA,WASH6P_processed_transcript:SLVRNA,SLC15A3_retained_intron:SLVRNA,TMPRSS11E_protein_coding:SLVRNA,PML_protein_coding:SLVRNA,RP11-206L10.2_processed_transcript:SLVRNA,KLF16_protein_coding:SLVRNA,OGT_protein_coding:SLVRNA,SLC6A14_protein_coding:SLVRNA,IL10RA_retained_intron:SLVRNA,ZSWIM6_protein_coding:SLVRNA
2,ABHD17A_retained_intron:SLVRNA,ACBD5_protein_coding:SLVRNA,AC005301.5_processed_transcript:SLVRNA,ADAR_protein_coding:SLVRNA,ADRBK2_protein_coding:SLVRNA,AC009404.2_lincRNA:SLVRNA,ANO8_protein_coding:SLVRNA,DAAM1_protein_coding:SLVRNA,HDAC2_protein_coding:SLVRNA,CREB1_protein_coding:SLVRNA,CLIC3_protein_coding:SLVRNA,ATP6V1C1_protein_coding:SLVRNA,RHCG_nonsense_mediated_decay:SLVRNA,NDEL1_retained_intron:SLVRNA,ITGA5_retained_intron:SLVRNA,RP11-87N24.3_lincRNA:SLVRNA,UNC13D_protein_coding:SLVRNA,MMP25_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ABTB1_retained_intron:SLVRNA,ACIN1_retained_intron:SLVRNA,ADGRG3_retained_intron:SLVRNA,AGO4_protein_coding:SLVRNA,AGO3_protein_coding:SLVRNA,ACOX1_protein_coding:SLVRNA,CGGBP1_protein_coding:SLVRNA,DAPK2_nonsense_mediated_decay:SLVRNA,LRP1_protein_coding:SLVRNA,DHX8_protein_coding:SLVRNA,DUSP5_protein_coding:SLVRNA,HECTD4_retained_intron:SLVRNA,TUFT1_protein_coding:SLVRNA,TNFAIP2_nonsense_mediated_decay:SLVRNA,MARS_nonsense_mediated_decay:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AC137934.1_lincRNA:SLVRNA,ADCY7_protein_coding:SLVRNA,AGFG2_protein_coding:SLVRNA,AGPAT6_retained_intron:SLVRNA,AKT1_retained_intron:SLVRNA,AHDC1_protein_coding:SLVRNA,CNKSR3_protein_coding:SLVRNA,DGKZ_protein_coding:SLVRNA,MEFV_retained_intron:SLVRNA,IQCE_protein_coding:SLVRNA,ECM1_protein_coding:SLVRNA,HYOU1_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AC138035.2_lincRNA:SLVRNA,AHCYL1_protein_coding:SLVRNA,AKAP9_protein_coding:SLVRNA,AKT1S1_protein_coding:SLVRNA,AMBRA1_protein_coding:SLVRNA,ARFGAP2_protein_coding:SLVRNA,CNOT7_protein_coding:SLVRNA,DNAJC10_protein_coding:SLVRNA,MLEC_protein_coding:SLVRNA,KLF13_protein_coding:SLVRNA,ELF3_processed_transcript:SLVRNA,KCNJ15_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ACAP3_retained_intron:SLVRNA,ALOX5_processed_transcript:SLVRNA,AKAP9_retained_intron:SLVRNA,AMFR_protein_coding:SLVRNA,ARPC2_processed_transcript:SLVRNA,BCDIN3D_protein_coding:SLVRNA,EIF4G2_protein_coding:SLVRNA,EGLN2_retained_intron:SLVRNA,PRKACA_protein_coding:SLVRNA,NCOA6_protein_coding:SLVRNA,KRT19_protein_coding:SLVRNA,LIMK2_retained_intron:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ADRM1_protein_coding:SLVRNA,ANKHD1_retained_intron:SLVRNA,ALDH1A3_protein_coding:SLVRNA,AP5B1_protein_coding:SLVRNA,ATG16L2_processed_transcript:SLVRNA,BROX_protein_coding:SLVRNA,EPHX3_protein_coding:SLVRNA,FCGR1A_protein_coding:SLVRNA,RAB21_retained_intron:SLVRNA,NUFIP2_protein_coding:SLVRNA,MUC1_protein_coding:SLVRNA,PLEKHB2_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AKT1_protein_coding:SLVRNA,APOBEC3A_processed_transcript:SLVRNA,ANKRD44_protein_coding:SLVRNA,APOBEC3A_retained_intron:SLVRNA,ATP6AP2_protein_coding:SLVRNA,C14orf64_lincRNA:SLVRNA,EPS8L1_retained_intron:SLVRNA,FKBP8_protein_coding:SLVRNA,SECISBP2L_protein_coding:SLVRNA,PDS5A_protein_coding:SLVRNA,PRSS22_protein_coding:SLVRNA,RBM3_processed_transcript:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AKT2_protein_coding:SLVRNA,ARF3_protein_coding:SLVRNA,ANXA11_processed_transcript:SLVRNA,ARID4B_protein_coding:SLVRNA,AVIL_retained_intron:SLVRNA,C15orf58_protein_coding:SLVRNA,EXPH5_protein_coding:SLVRNA,GPC1_protein_coding:SLVRNA,STAG2_protein_coding:SLVRNA,SOCS2_protein_coding:SLVRNA,PRSS27_protein_coding:SLVRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
